JenisSurat,Perihal,Dari/Untuk,Tipe,Teks_Input_Gabungan,Kategori_Target
Masuk,Undangan Acara Harvesting Kegiatan Gerakan Nasional Bangga Buatan Indonesia dan Bangga Berwisata di Indonesia (Gernas BBI/ BBWI) di Provinsi Sumatera Selatan tahun 2024,Plh. Direktur Inklusi Keuangan,545 - Surat Dinas,masuk undangan acara harvesting kegiatan gerakan nasional bangga buatan indonesia dan bangga berwisata di indonesia gernas bbi bbwi di provinsi sumatera selatan tahun 2024 plh direktur inklusi keuangan,SURAT DINAS
Masuk,Permohonan Donatur/Sponsorship,Markas Besar Perintis Kemerdekaan RI Batalyon Serbaguna Veteran Trikora (YON SERNA VET TRIKORA),546 - proposal,masuk permohonan donatur sponsorship markas besar perintis kemerdekaan ri batalyon serbaguna veteran trikora yon serna vet trikora,PROPOSAL
Masuk,"Surat Undangan Workshop ""Contract Drafting & Procurement""",Marketing & Public Relations Coordinator PT Asia Strategi Konsulting,547 - Surat Dinas,masuk surat undangan workshop contract drafting procurement marketing public relations coordinator pt asia strategi konsulting,SURAT DINAS
Masuk,Permohonan Audiensi,Dewan Pengurus Kamar Dagang dan Industri Jawa Barat (KADIN),548 - Surat Dinas,masuk permohonan audiensi dewan pengurus kamar dagang dan industri jawa barat kadin,SURAT DINAS
Masuk,Somasi 2,Slamet Wahjudi (085822535799),549 - Surat Dinas,masuk somasi 2 slamet wahjudi 085822535799,SURAT DINAS
Masuk,Somasi Ke-2 (dua),Kuasa Hukum Sdr Dadang Iskandar  LBH Gerakan Pemuda Ansor Kab. Majalengka,550 - Surat Dinas,masuk somasi ke 2 dua kuasa hukum sdr dadang iskandar lbh gerakan pemuda ansor kab majalengka,SURAT DINAS
Masuk,Pengumuman Top CSR of The Year 2024,PT Tras Mediacom,551 - Surat Dinas,masuk pengumuman top csr of the year 2024 pt tras mediacom,SURAT DINAS
Masuk,SQA 2024 Winner Congratulations,Director Panitia Service Quality Award,552 - Surat Dinas,masuk sqa 2024 winner congratulations director panitia service quality award,SURAT DINAS
Masuk,Tanggapan kembali Konfirmasi Tagihan Biaya Distribusi CBP Tahap II Tahun 2023,Direktur PT Yasa Artha Trimanunggal,553 - Surat Dinas,masuk tanggapan kembali konfirmasi tagihan biaya distribusi cbp tahap ii tahun 2023 direktur pt yasa artha trimanunggal,SURAT DINAS
Masuk,Surat Kedua untuk Tanggapan Kembali Konfirmasi Pembayaran Penyaluran (Last Mile) Bantuan Pangan Cadangan Beras Pemerintah di Provinsi Papua dan Papua Barat Tahap 1 2 dan 3 Tahun 2023,Direktur PT Yasa Artha Trimanunggal,554 - Surat Dinas,masuk surat kedua untuk tanggapan kembali konfirmasi pembayaran penyaluran last mile bantuan pangan cadangan beras pemerintah di provinsi papua dan papua barat tahap 1 2 dan 3 tahun 2023 direktur pt yasa artha trimanunggal,SURAT DINAS
Masuk,Laporan Perilaku Kepala Pos Balai Selasa Kecamatan Ranah Pesisir Kabupaten Pesisir Selatan Provinsi Sumatera Barat atas nama Syafrisal/Icang,Nasrun,555 - surat pribadi,masuk laporan perilaku kepala pos balai selasa kecamatan ranah pesisir kabupaten pesisir selatan provinsi sumatera barat atas nama syafrisal icang nasrun,SURAT PRIBADI
Masuk,Pemberitahuan Rapat Umum Anggota (RUA) Tahunan Asosiasi Sistem Pembayaran Indonesia (ASPI) Tahun 2024,Ketua Umum Asosiasi Sistem Pembayaran Indonesia (ASPI),556 - Surat Dinas,masuk pemberitahuan rapat umum anggota rua tahunan asosiasi sistem pembayaran indonesia aspi tahun 2024 ketua umum asosiasi sistem pembayaran indonesia aspi,SURAT DINAS
Masuk,Laporan Pelaksanaan Tugas Pengawasan Dewan Komisaris Bulan Februari 2024,Komisaris PT Pos Logistik Indonesia,557 - Surat Dinas,masuk laporan pelaksanaan tugas pengawasan dewan komisaris bulan februari 2024 komisaris pt pos logistik indonesia,SURAT DINAS
Masuk,Undangan Partisipasi Boyolali Festival UMKM 2024,Bupati Boyolali,558 - Surat Dinas,masuk undangan partisipasi boyolali festival umkm 2024 bupati boyolali,SURAT DINAS
Masuk,Kerjasama Himbauan Kamseltibcar Lantas dan Ucapan Hari Bhayangkara ke-78,Kapolres Metro Depok Polda Metro Jaya,559 - Surat Dinas,masuk kerjasama himbauan kamseltibcar lantas dan ucapan hari bhayangkara ke 78 kapolres metro depok polda metro jaya,SURAT DINAS
Masuk,Kemitraan Kamtibmas HUT Bhayangkara ke-78 1 Juli 2024,Kepala Bidang Humas Polda Jabar,560 - proposal,masuk kemitraan kamtibmas hut bhayangkara ke 78 1 juli 2024 kepala bidang humas polda jabar,PROPOSAL
Masuk,Permohonan Donatur/Sponsor,"Panitia Pelaksana Rakernas Alisa ""Khadijah"" - ICMI",561 - Surat Dinas,masuk permohonan donatur sponsor panitia pelaksana rakernas alisa khadijah icmi,SURAT DINAS
Masuk,Permohonan Sponsorship Pemilihan Duta Lingkungan Jawa Barat 2024,Founder Asosiasi Duta Lingkungan Provinsi Jawa Barat,562 - proposal,masuk permohonan sponsorship pemilihan duta lingkungan jawa barat 2024 founder asosiasi duta lingkungan provinsi jawa barat,PROPOSAL
Masuk,Permohonan Sponsorship,Kaukus Muda Indonesia (KMI),563 - proposal,masuk permohonan sponsorship kaukus muda indonesia kmi,PROPOSAL
Masuk,Penerbitan buku & permohonan sponsorship,Thalia Franceska Prasetyo (Indrie  082145322499),564 - proposal,masuk penerbitan buku permohonan sponsorship thalia franceska prasetyo indrie 082145322499,PROPOSAL
Masuk,Kesediaan Berpartisipasi dalam Program Corporate Governance Perception Index (CGPI) yang diselenggarakan IICG bersama Majalah SWA,Ketua Dewan Pengurus The Indonesian Institute for Corporate Governance (IICG),567 - proposal,masuk kesediaan berpartisipasi dalam program corporate governance perception index cgpi yang diselenggarakan iicg bersama majalah swa ketua dewan pengurus the indonesian institute for corporate governance iicg,PROPOSAL
Masuk,Turnament Golf Hari Bhakti TNI AU,a.n Pengurus Induk Koperasi Angkatan Udara  Ketua Umum,568 - proposal,masuk turnament golf hari bhakti tni au a n pengurus induk koperasi angkatan udara ketua umum,PROPOSAL
Masuk,Iklan Kemitraan Bersama/Media Luar Ruang Publikasi dan Sosialisasi Terpilihnya dan Dilantiknya Presiden dan Wakil Presiden RI Masa Bakti 2024-2029,Manager Aksara Grafika Bisnis Media (Info Bisnis),569 - proposal,masuk iklan kemitraan bersama media luar ruang publikasi dan sosialisasi terpilihnya dan dilantiknya presiden dan wakil presiden ri masa bakti 2024 2029 manager aksara grafika bisnis media info bisnis,PROPOSAL
Masuk,Permohonan Sponsorship/Partisipasi,Ketua Umum Lembaga Perlindungan Konsumen Swadaya Masyarakat LPKSM Saluyu,570 - proposal,masuk permohonan sponsorship partisipasi ketua umum lembaga perlindungan konsumen swadaya masyarakat lpksm saluyu,PROPOSAL
Masuk,Permohonan Sponsor Ucapan Selamat Menunaikan Ibadah Haji & Hari Raya Idul Adha 1445 H/2024 M,Pimpinan Wilayah Dewan Masjid Indonesia Provinsi DKI Jakarta,571 - proposal,masuk permohonan sponsor ucapan selamat menunaikan ibadah haji hari raya idul adha 1445 h 2024 m pimpinan wilayah dewan masjid indonesia provinsi dki jakarta,PROPOSAL
Masuk,Penerbitan Buku Percepatan Pembangunan IKN menuju Visi Indonesia 2045,Ketua Pelaksana Percepatan Pembangunan IKN menuju Visi Indonesia 2045,572 - proposal,masuk penerbitan buku percepatan pembangunan ikn menuju visi indonesia 2045 ketua pelaksana percepatan pembangunan ikn menuju visi indonesia 2045,PROPOSAL
Masuk,Proposal Magang atas nama Michelle Gabriella VP  Fakultas Komunikasi dan Bisnis Telkom University,Michelle Gabriella VP  Fakultas Komunikasi dan Bisnis Telkom University,573 - proposal,masuk proposal magang atas nama michelle gabriella vp fakultas komunikasi dan bisnis telkom university michelle gabriella vp fakultas komunikasi dan bisnis telkom university,PROPOSAL
Keluar,Perjanjian Kerja Sama antara PT Berbagi Inovasi Teknologi dengan PT Pos Indonesia (Persero) tentang Pengiriman Kiriman Biteship,SVP Retail Business;,574 - SPK dan PKS,keluar perjanjian kerja sama antara pt berbagi inovasi teknologi dengan pt pos indonesia persero tentang pengiriman kiriman biteship svp retail business,SPK DAN PKS
Keluar,1. Perjanjian Kerja Sama antara PT Setiap Hari Dipakai dengan PT Pos Indonesia (Persero) tentang Pengiriman Kiriman Marketplace 2. Perjanjian Kerahasiaan (Non Disclosure Agreement) antara PT Pos Indonesia (Persero) dengan PT Pos Indonesia (Persero) tentang Pertukaran Data dan/atau Informasi,SVP Retail Business;,575 - SPK dan PKS,keluar 1 perjanjian kerja sama antara pt setiap hari dipakai dengan pt pos indonesia persero tentang pengiriman kiriman marketplace 2 perjanjian kerahasiaan non disclosure agreement antara pt pos indonesia persero dengan pt pos indonesia persero tentang pertukaran data dan atau informasi svp retail business,SPK DAN PKS
Keluar,Adendum Perjanjian Kerja Sama atas Perjanjian Kerja Sama Nomor : PKS 192/DIRUT/2023 tanggal 1 Agustus 2023 antara PT ASABRI (Persero) dengan PT Pos Indonesia (Persero) tentang Pembayaran Manfaat Asuransi Sosial dan Pengelolaan Data Penerima Fasilitas Kredit kepada Peserta ASABRI Nomor : PKS 121/DIR-4/0524,Direktur Bisnis Jasa Keuangan;,577 - SPK dan PKS,keluar adendum perjanjian kerja sama atas perjanjian kerja sama nomor pks 192 dirut 2023 tanggal 1 agustus 2023 antara pt asabri persero dengan pt pos indonesia persero tentang pembayaran manfaat asuransi sosial dan pengelolaan data penerima fasilitas kredit kepada peserta asabri nomor pks 121 dir 4 0524 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Pusat Pendidikan  Pelatihan dan Pengembangan Profesi Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) tahun 2024,Direktur Bisnis Jasa Keuangan;,578 - SPK dan PKS,keluar perjanjian kerja sama antara pusat pendidikan pelatihan dan pengembangan profesi sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Balai Besar Pendidikan dan Pelatihan Kesejahteraan Sosial (BBPPKS) Padang Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Kegiatan Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) Tahun 2024 Nomor : PKS 107/ DIR-4/0424,Direktur Bisnis Jasa Keuangan;,579 - SPK dan PKS,keluar perjanjian kerja sama antara balai besar pendidikan dan pelatihan kesejahteraan sosial bbppks padang sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan kegiatan pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 nomor pks 107 dir 4 0424 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Balai Besar Pendidikan dan Pelatihan Kesejahteraan Sosial (BBPPKS) Padang Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Kegiatan Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) Tahun 2024 Nomor : PKS 108/ DIR-4/0424,Direktur Bisnis Jasa Keuangan;,580 - SPK dan PKS,keluar perjanjian kerja sama antara balai besar pendidikan dan pelatihan kesejahteraan sosial bbppks padang sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan kegiatan pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 nomor pks 108 dir 4 0424 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Administrasi Medika dengan PT Pos Indonesia (Persero) tentang Pengiriman Dokuman dan Barang Nomor : PKS 141/DIRUT/0524,Direktur Utama;,581 - SPK dan PKS,keluar perjanjian kerja sama antara pt administrasi medika dengan pt pos indonesia persero tentang pengiriman dokuman dan barang nomor pks 141 dirut 0524 direktur utama,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pura Barutama dengan PT Pos Indonesia tentang Joint Marketing (Pemasaran Bersama) Nomor : PKS 140/DIRUT/0524,Direktur Utama;,582 - SPK dan PKS,keluar perjanjian kerja sama antara pt pura barutama dengan pt pos indonesia tentang joint marketing pemasaran bersama nomor pks 140 dirut 0524 direktur utama,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Balai Besar Pendidikan dan Pelatihan Kesejahteraan Sosial (BBPPKS) Yogyakarta Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) Tahun 2024 Nomor : PKS 109/DIR-4/0424,Direktur Bisnis Jasa Keuangan;,583 - SPK dan PKS,keluar perjanjian kerja sama antara balai besar pendidikan dan pelatihan kesejahteraan sosial bbppks yogyakarta sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 nomor pks 109 dir 4 0424 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Balai Besar Pendidikan dan Pelatihan Kesejahteraan Sosial (BBPPKS) Yogyakarta Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) Tahun 2024 Nomor : PKS 110/DIR-4/0424,Direktur Bisnis Jasa Keuangan;,584 - SPK dan PKS,keluar perjanjian kerja sama antara balai besar pendidikan dan pelatihan kesejahteraan sosial bbppks yogyakarta sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 nomor pks 110 dir 4 0424 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Balai Besar Pendidikan dan Pelatihan Kesejahteraan Sosial (BBPPKS) Yogyakarta Sekretariat Jenderal Kementerian Sosial dengan PT Pos Indonesia (Persero) tentang Penyaluran Dana Sarana Pendukung Pasca Pelatihan Pemberdayaan Masyarakat melalui Program Pahlawan Ekonomi Nusantara (PENA) Tahun 2024 Nomor : PKS 111/DIR-4/0424,Direktur Bisnis Jasa Keuangan;,585 - SPK dan PKS,keluar perjanjian kerja sama antara balai besar pendidikan dan pelatihan kesejahteraan sosial bbppks yogyakarta sekretariat jenderal kementerian sosial dengan pt pos indonesia persero tentang penyaluran dana sarana pendukung pasca pelatihan pemberdayaan masyarakat melalui program pahlawan ekonomi nusantara pena tahun 2024 nomor pks 111 dir 4 0424 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Permohonan Penerbitan Visa DIRUT,Corsec;,587 - Surat Dinas,keluar permohonan penerbitan visa dirut corsec,SURAT DINAS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan Yayasan Pos Keadilan Peduli Ummat Human Initiative tentang Distribusi Dana Bantuan dan Pemanfaatan Layanan Jasa Pos Nomor : PKS 146/DIR-4/0524,Direktur Bisnis Jasa Keuangan;,588 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan yayasan pos keadilan peduli ummat human initiative tentang distribusi dana bantuan dan pemanfaatan layanan jasa pos nomor pks 146 dir 4 0524 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Berbagi Inovasi Teknologi dengan PT Pos Indonesia (Persero) tentang Pengiriman Kiriman Biteship Nomor : PKS 143/SVP Retail Business/0524,SVP Retail Business;,589 - SPK dan PKS,keluar perjanjian kerja sama antara pt berbagi inovasi teknologi dengan pt pos indonesia persero tentang pengiriman kiriman biteship nomor pks 143 svp retail business 0524 svp retail business,SPK DAN PKS
Keluar,1. Perjanjian Kerja Sama antara PT Setiap Hari Dipakai dengan PT Pos Indonesia (Persero) tentang Pengiriman Kiriman Marketplace 2. Perjanjian Kerahasiaan (Non Disclosure Agreement) antara PT Pos Indonesia (Persero) dengan PT Setiap Hari Dipakai tentang Pertukaran Data dan/atau Informasi,SVP Retail Business;,590 - SPK dan PKS,keluar 1 perjanjian kerja sama antara pt setiap hari dipakai dengan pt pos indonesia persero tentang pengiriman kiriman marketplace 2 perjanjian kerahasiaan non disclosure agreement antara pt pos indonesia persero dengan pt setiap hari dipakai tentang pertukaran data dan atau informasi svp retail business,SPK DAN PKS
Keluar,SPK/PKS karyadi Div Hukum,corsec;,592 - SPK dan PKS,keluar spk pks karyadi div hukum corsec,SPK DAN PKS
Keluar,Nota Kesepahaman antara PT Pos Indonesia (Persero) dengan Lembaga National Single Window tentang Kolaborasi Peningkatan Kinerja Logistik Nasional,Direktur Utama;,593 - SPK dan PKS,keluar nota kesepahaman antara pt pos indonesia persero dengan lembaga national single window tentang kolaborasi peningkatan kinerja logistik nasional direktur utama,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Kirim Paket Integrasi dengan PT Pos Indonesia (Persero) tentang Pengiriman Marketplace Nomor : PKS 118/SVP Retail Business/0424,SVP Retail Business;,594 - SPK dan PKS,keluar perjanjian kerja sama antara pt kirim paket integrasi dengan pt pos indonesia persero tentang pengiriman marketplace nomor pks 118 svp retail business 0424 svp retail business,SPK DAN PKS
Keluar,1. Surat Perintah Kerja (SPK) Nomor : 121/SPBT/0424 2. Perjanjian antara PT Pos Indonesia (Persero) dan PT Prestasi Multi Kreasi tentang Pekerjaan Pengadaan Jasa Konsultan Kajian Desain (Design Study) Implementasi Penyelenggaraan Layanan Logistik di Kawasan Ibu Kota Nusantara (IKN) Nomor : 125/SPBT/0424,SVP Strategic Planning and Business Development;,595 - SPK dan PKS,keluar 1 surat perintah kerja spk nomor 121 spbt 0424 2 perjanjian antara pt pos indonesia persero dan pt prestasi multi kreasi tentang pekerjaan pengadaan jasa konsultan kajian desain design study implementasi penyelenggaraan layanan logistik di kawasan ibu kota nusantara ikn nomor 125 spbt 0424 svp strategic planning and business development,SPK DAN PKS
Masuk,Permohonan Izin Penelitian,Nur Azizah,596 - Surat Dinas,masuk permohonan izin penelitian nur azizah,SURAT DINAS
Masuk,Audiensi/Silaturahmi (Ekspedisi II),Dewan Pengurus Pusat SPPI,597 - Surat Dinas,masuk audiensi silaturahmi ekspedisi ii dewan pengurus pusat sppi,SURAT DINAS
Masuk,Pelaksanaan Rakernas SPPI ke-2 Tahun 2024,Panitia Pelaksana Rakernas SPPI ke-2 Tahun 2024,598 - Surat Dinas,masuk pelaksanaan rakernas sppi ke 2 tahun 2024 panitia pelaksana rakernas sppi ke 2 tahun 2024,SURAT DINAS
Masuk,Undangan Expansive Leadership Program,Advisor PT Mediatama Sinergi Emas (MSE),599 - Surat Dinas,masuk undangan expansive leadership program advisor pt mediatama sinergi emas mse,SURAT DINAS
Masuk,Invitation to the next meeting of the Telematics Cooperative`s International Mail Services User Group,Director of the Postal Technology Centre  Universal Postal Union (UPU),600 - Surat Dinas,masuk invitation to the next meeting of the telematics cooperative s international mail services user group director of the postal technology centre universal postal union upu,SURAT DINAS
Keluar,SPK/PKS Karyadi Div Hukum,Corsec;,602 - SPK dan PKS,keluar spk pks karyadi div hukum corsec,SPK DAN PKS
Keluar,Surat Keputusan Nomor : SK 279/Setper/0524 tentang Tim Pengadaan Setempat Divisi Legal Kantor Pusat PT Pos Indonesia (Persero),Corporate Secretary;,603 - SK,keluar surat keputusan nomor sk 279 setper 0524 tentang tim pengadaan setempat divisi legal kantor pusat pt pos indonesia persero corporate secretary,SK
Keluar,Risalah Radir  Selasa 4 Juni 2024,Direksi;,604 - risalah,keluar risalah radir selasa 4 juni 2024 direksi,RISALAH
Keluar,SPK/PKS Karyadi Hukum,Corsec;,606 - pks,keluar spk pks karyadi hukum corsec,PKS
Keluar,Perjanjian Kerahasiaan antara PT Indonesia Comnets Plus dengan PT Pos Indonesia (Persero) tentang Pertukaran Data dan Informasi,VP Modern Channel Financial Service;,607 - SPK dan PKS,keluar perjanjian kerahasiaan antara pt indonesia comnets plus dengan pt pos indonesia persero tentang pertukaran data dan informasi vp modern channel financial service,SPK DAN PKS
Keluar,Perjanjian Kerja Sama tentang Layanan Pengangkutan Kiriman Pos Internasional antara PT Pos Indonesia (Persero) dengan PT Stefany Jaya Sentosa Nomor : PKS 136/SVP IPS/0524,SVP International Post Services;,608 - SPK dan PKS,keluar perjanjian kerja sama tentang layanan pengangkutan kiriman pos internasional antara pt pos indonesia persero dengan pt stefany jaya sentosa nomor pks 136 svp ips 0524 svp international post services,SPK DAN PKS
Keluar,Adendum atas Perjanjian Kerja Sama Nomor PKS 99/SVP Retail Business/0522 antara PT Pos Indonesia (Persero) dengan PT Gramedia Asri Media tentang Pemanfaatan Layanan Jasa Pos untuk Kiriman Produk Nomor : PKS 134/SVP Retail Business/0524,SVP Retail Business;,609 - SPK dan PKS,keluar adendum atas perjanjian kerja sama nomor pks 99 svp retail business 0522 antara pt pos indonesia persero dengan pt gramedia asri media tentang pemanfaatan layanan jasa pos untuk kiriman produk nomor pks 134 svp retail business 0524 svp retail business,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Mitra Sentral terpadu tentang Layanan Penerimaan Pembayaran Multi Biller melalui Sistem Online Payment Point Pos,Direktur Bisnis Jasa Keuangan;,610 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan pt mitra sentral terpadu tentang layanan penerimaan pembayaran multi biller melalui sistem online payment point pos direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan Sekolah Vokasi Universitas Logistik dan Bisnis Internasional tentang Pengembangan dan Penggunaan Chatbot pada Layanan Pos Internasional Nomor : PKS 126/SVP IPS/0524,SVP International Post Services;,611 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan sekolah vokasi universitas logistik dan bisnis internasional tentang pengembangan dan penggunaan chatbot pada layanan pos internasional nomor pks 126 svp ips 0524 svp international post services,SPK DAN PKS
Keluar,Adendum Keempat atas Perjanjian Kerja Sama Nomor : PKS 039/ SVP Retail Business/0322 antara PT Shopee International Indonesia dengan PT Pos Indonesia (Persero) tentang Layanan Pengiriman Barang Nomor : PKS 147/SVP Retail Business/0524,SVP Retail Business;,612 - SPK dan PKS,keluar adendum keempat atas perjanjian kerja sama nomor pks 039 svp retail business 0322 antara pt shopee international indonesia dengan pt pos indonesia persero tentang layanan pengiriman barang nomor pks 147 svp retail business 0524 svp retail business,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan Jaksa Agung Muda Bidang Perdata dan Tata Usaha Negara Kejaksaan Republik Indonesia tentang Penanganan Masalah Hukum Bidang Perdata dan Tata Usaha Negara Nomor : PKS 093/ DIRUT/0324,Direktur Utama;,613 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan jaksa agung muda bidang perdata dan tata usaha negara kejaksaan republik indonesia tentang penanganan masalah hukum bidang perdata dan tata usaha negara nomor pks 093 dirut 0324 direktur utama,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Bank Central Asia Tbk tentang Layanan Weselpos Transfer Tunai,SVP Consumer Business;,616 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan pt bank central asia tbk tentang layanan weselpos transfer tunai svp consumer business,SPK DAN PKS
Keluar,Keputusan Direksi tentang Posaja UMKM,Direktur Bisnis Kurir dan Logistik;,618 - KD,keluar keputusan direksi tentang posaja umkm direktur bisnis kurir dan logistik,KD
Keluar,Keputusan Direksi Nomor : KD 019/DIRUT/0424 tentang Pedoman Mapping Kode Rekening Laporan Keuangan Konsolidasi Induk dan Anak Perusahaan,Direktur Utama;,619 - KD,keluar keputusan direksi nomor kd 019 dirut 0424 tentang pedoman mapping kode rekening laporan keuangan konsolidasi induk dan anak perusahaan direktur utama,KD
Keluar,PKS Karyadi Div Legal,Corsec;,620 - SPK dan PKS,keluar pks karyadi div legal corsec,SPK DAN PKS
Keluar,Risalah Radir  Selasa 11 Juni 2024,Direksi;,621 - risalah,keluar risalah radir selasa 11 juni 2024 direksi,RISALAH
Masuk,Rapat Sinkronisasi Program TJSL Tahun 2024,Kepala Badan Perencanaan Pembangunan  Penelitian dan Pengembangan Pemerintah Kota Bandung,622 - Surat Dinas,masuk rapat sinkronisasi program tjsl tahun 2024 kepala badan perencanaan pembangunan penelitian dan pengembangan pemerintah kota bandung,SURAT DINAS
Keluar,Perjanjian antara PT Pos Indonesia (Persero) dengan PT Dapensi Dwikarya tentang Pekerjaan Pengadaan Sewa Kendaraan Jabatan Executive Manager di Regional V Surabaya Tahun 2024. PKS 137/ DIR-2/0524,Direktur Human Capital Management;,624 - SPK dan PKS,keluar perjanjian antara pt pos indonesia persero dengan pt dapensi dwikarya tentang pekerjaan pengadaan sewa kendaraan jabatan executive manager di regional v surabaya tahun 2024 pks 137 dir 2 0524 direktur human capital management,SPK DAN PKS
Keluar,Surat Edaran Nomor SE 012/DIR-2/0524 tentang Penyelenggaraan The Best Performasi Award PT Pos Indonesia (Persero)``,Direktur Human Capital Management;,625 - SE,keluar surat edaran nomor se 012 dir 2 0524 tentang penyelenggaraan the best performasi award pt pos indonesia persero direktur human capital management,SE
Keluar,Surat Keputusan Direksi Nomor : SK 616/DIRUT/0424 tentang Perpanjangan Masa Tugas dan Perubahan Susunan Keanggotaan Komite Penerbitan Instrumen Utang PT Pos Indonesia (Persero),Direktur Utama;,626 - SK,keluar surat keputusan direksi nomor sk 616 dirut 0424 tentang perpanjangan masa tugas dan perubahan susunan keanggotaan komite penerbitan instrumen utang pt pos indonesia persero direktur utama,SK
Keluar,sponsor pembuatan Visa Direktur Busdev ke Swiss,Corsec;,628 - Surat Dinas,keluar sponsor pembuatan visa direktur busdev ke swiss corsec,SURAT DINAS
Keluar,Keputusan Direksi tentang Perubahan Pertama atas Keputusan Direksi PT Pos Indonesia (Persero) Nomor : KD 068/DIRUT/0823 tentang Hari dan Jam Kerja,Direktur Utama;,629 - KD,keluar keputusan direksi tentang perubahan pertama atas keputusan direksi pt pos indonesia persero nomor kd 068 dirut 0823 tentang hari dan jam kerja direktur utama,KD
Masuk,Undangan Sosialisasi Anti Korupsi,a.n Direktur Jenderal Anggaran  Sekretaris Direktorat Jenderal Anggaran Kementerian Keuangan RI,631 - Surat Dinas,masuk undangan sosialisasi anti korupsi a n direktur jenderal anggaran sekretaris direktorat jenderal anggaran kementerian keuangan ri,SURAT DINAS
Keluar,Risalah Radir  Selasa 18 Juni 2024,Direksi;,632 - risalah,keluar risalah radir selasa 18 juni 2024 direksi,RISALAH
Keluar,Surat Sponsor Visa,Corsec;,635 - Surat Dinas,keluar surat sponsor visa corsec,SURAT DINAS
Keluar,Surat Sponsor Visa,Corsec;,636 - Surat Dinas,keluar surat sponsor visa corsec,SURAT DINAS
Keluar,Sponsor Visa,Corsec;,637 - Surat Dinas,keluar sponsor visa corsec,SURAT DINAS
Masuk,Permohonan Wawancara,CEO Investortrust,638 - Surat Dinas,masuk permohonan wawancara ceo investortrust,SURAT DINAS
